0,1,2,3,4,5,6
195.0,46.24999999999999,33.75,0.0,20.0,1773.0,-3.7617321993477515
196.0,40.0,40.0,3.75,16.25,1773.0,-4.043313013572446
197.0,40.0,40.0,0.0,20.0,1773.0,-4.113088223817037
198.0,57.5,22.5,0.0,20.0,1773.0,-2.9980592918381026
199.0,40.0,40.0,1.041666667,18.95833333,1773.0,-4.096184379572029
200.0,57.875,22.125,0.0,20.0,1723.0,-3.2589866309540714
201.0,70.25,9.75,0.0,20.0,1723.0,-2.3504413950582568
202.0,40.0,28.33333333,5.0,26.66666667,1723.0,-4.021838981635093
203.0,53.75,26.25,0.0,20.0,1673.0,-3.8289629223600854
204.0,66.125,13.875000000000002,0.0,20.0,1673.0,-3.0308249510925163
205.0,40.0,28.33333333,5.0,26.66666667,1723.0,-4.021963523783033
206.0,40.0,38.33333333,5.0,16.66666667,1723.0,-4.203659771315905
207.0,40.0,40.0,1.458333333,18.54166667,1673.0,-4.532650575361434
208.0,70.25,9.75,0.0,20.0,1673.0,-2.7505813256363774
209.0,67.5,12.5,0.0,20.0,1723.0,-2.5544264619168398
210.0,66.25,13.75,0.0,20.0,1773.0,-2.3231711646609203
211.0,40.0,23.33333333,5.0,31.66666667,1673.0,-4.164200037145429
212.0,40.0,40.0,3.333333333,16.66666667,1773.0,-4.054058217776569
213.0,64.75,15.25,0.0,20.0,1723.0,-2.7593579360818072
214.0,52.5,27.5,0.0,20.0,1723.0,-3.6221433160368073
215.0,40.0,40.0,4.583333333,15.41666667,1773.0,-4.016774024130204
216.0,59.25,20.75,0.0,20.0,1673.0,-3.4871247643294834
217.0,66.125,13.875000000000002,0.0,20.0,1773.0,-2.3324633474410166
218.0,46.875,33.125,0.0,20.0,1673.0,-4.215189670762182
219.0,59.25,20.75,0.0,20.0,1723.0,-3.161603606891572
220.0,40.0,40.0,5.0,15.0,1773.0,-4.000383453215735
221.0,40.0,6.666666667,5.0,48.33333333,1723.0,-3.5748345757733433
222.0,40.0,30.0,5.0,25.0,1723.0,-4.057000429413465
223.0,70.25,9.75,0.0,20.0,1773.0,-2.010602315122273
224.0,54.99999999999999,25.0,0.0,20.0,1723.0,-3.4572651825416503
225.0,70.25,9.75,0.0,20.0,1673.0,-2.7486946149467175
226.0,40.0,40.0,1.458333333,18.54166667,1773.0,-4.088586530048932
227.0,40.0,23.33333333,5.0,31.66666667,1723.0,-3.914644195992009
228.0,65.0,15.0,0.0,20.0,1673.0,-3.1056097027890512
229.0,68.875,11.125,0.0,20.0,1673.0,-2.841930196778264
230.0,54.99999999999999,25.0,0.0,20.0,1723.0,-3.457391940910842
231.0,59.25,20.75,0.0,20.0,1723.0,-3.1615790080837107
232.0,59.25,20.75,0.0,20.0,1773.0,-2.8666375109578266
